name,address,suburb,category,seating_type,seats,latitude,longitude,census_year
Stovetop,Cafe 108-128 Leicester Street CARLTON VIC 3053,Carlton,Cafes and Restaurants,outdoor,16,-37.80335267,144.960971679,2024
More Tea,233 Pelham Street MELBOURNE VIC 3000,Carlton,Cafes and Restaurants,indoor,20,-37.80219264,144.958240197,2024
Arabesque,642-644 Elizabeth Street MELBOURNE VIC 3000,Carlton,Cafes and Restaurants,indoor,80,-37.80328692,144.958614249,2024
The Last Jar,Royal Artillery Hotel 614-616 Elizabeth Street MELBOURNE VIC 3000,Carlton,"Pubs, Taverns and Bars",outdoor,60,-37.80389369,144.958938676,2024
Humble Rays,Retail 1 71-79 Bouverie Street CARLTON VIC 3053,Carlton,Cafes and Restaurants,indoor,60,-37.80477948,144.961410001,2024
Manja Melbourne,28 Leicester Street CARLTON VIC 3053,Carlton,Cafes and Restaurants,indoor,60,-37.80570036,144.960508626,2024
Laurus - Lou Mei Fun,158 Victoria Street CARLTON VIC 3053,Carlton,Cafes and Restaurants,indoor,95,-37.80614561,144.961940792,2024
Soul Soul Cafe,"Shop 1, Level 1 158 Victoria Street CARLTON VIC 3053",Carlton,Cafes and Restaurants,indoor,60,-37.80614561,144.961940792,2024
Woodside Green,87 Cardigan Street CARLTON VIC 3053,Carlton,Cafes and Restaurants,indoor,18,-37.80486182,144.964446103,2024
Torissong,143 Queensberry Street CARLTON VIC 3053,Carlton,Cafes and Restaurants,indoor,16,-37.80493297,144.963920625,2024
Oxi Tea Room,5 Cornell Place CARLTON VIC 3053,Carlton,Cafes and Restaurants,indoor,16,-37.80521815,144.963716758,2024
Oxi Tea Room,5 Cornell Place CARLTON VIC 3053,Carlton,Cafes and Restaurants,outdoor,6,-37.80521815,144.963716758,2024
Cairo Nights Restaurant & Bar,"Unit 5, 252 Lygon Street CARLTON VIC 3053",Carlton,Cafes and Restaurants,indoor,50,-37.80137656,144.967324233,2024
Piccolo Mondo,240 Lygon Street CARLTON VIC 3053,Carlton,Cafes and Restaurants,indoor,120,-37.80158026,144.967246341,2024
Players On Lygon,Ground 200 Lygon Street CARLTON VIC 3053,Carlton,"Pubs, Taverns and Bars",outdoor,12,-37.80245924,144.967052186,2024
Leonardo'S Pizza Palace,218-224 Drummond Street CARLTON VIC 3053,Carlton,Cafes and Restaurants,indoor,80,-37.80116198,144.968597488,2024
Market Cafe / Station Cafe / Mercury Restaurant,Restaurant 11 Nicholson Street CARLTON VIC 3053,Carlton,Cafes and Restaurants,indoor,215,-37.80401887,144.971635508,2024
Nefes,174-178 Lygon Street CARLTON VIC 3053,Carlton,Cafes and Restaurants,indoor,100,-37.80305855,144.966780013,2024
El Giza Bar & Lounge,152-154 Lygon Street CARLTON VIC 3053,Carlton,"Pubs, Taverns and Bars",indoor,100,-37.80359309,144.966744708,2024
Khabbay Restaurant,140-142 Lygon Street CARLTON VIC 3053,Carlton,Cafes and Restaurants,indoor,120,-37.803783,144.966723095,2024
Hakata Gensuke Carlton,126 Lygon Street CARLTON VIC 3053,Carlton,Cafes and Restaurants,indoor,22,-37.80443778,144.966699249,2024
Hakata Gensuke Carlton,126 Lygon Street CARLTON VIC 3053,Carlton,Cafes and Restaurants,outdoor,8,-37.80443778,144.966699249,2024
Kantin,122 Lygon Street CARLTON VIC 3053,Carlton,Cafes and Restaurants,outdoor,16,-37.80443778,144.966699249,2024
Ying Thai 2,110 Lygon Street CARLTON VIC 3053,Carlton,Cafes and Restaurants,outdoor,20,-37.80443778,144.966699249,2024
Kitchen Of The King,Level 1 90 Queensberry Street CARLTON VIC 3053,Carlton,Cafes and Restaurants,indoor,50,-37.80467681,144.965949772,2024
Kazuki'S Restaurant,121 Lygon Street CARLTON VIC 3053,Carlton,Cafes and Restaurants,indoor,40,-37.80415049,144.966024118,2024
Mercadante Pizza,Ground 123 Lygon Street CARLTON VIC 3053,Carlton,Cafes and Restaurants,indoor,45,-37.80408996,144.966034229,2024
La Cabra Carlton,Ground 151 Lygon Street CARLTON VIC 3053,Carlton,Cafes and Restaurants,indoor,40,-37.80366248,144.966117861,2024
Scopri Italian Food & Wine,191 Nicholson Street CARLTON VIC 3053,Carlton,Cafes and Restaurants,indoor,60,-37.79568657,144.974922089,2024
Books N Bites Cafe,Ground 224 Pelham Street MELBOURNE VIC 3000,Carlton,Cafes and Restaurants,outdoor,12,-37.80169537,144.958328684,2024
Baretto Cafe,Ground 161 Barry Street CARLTON VIC 3053,Carlton,Cafes and Restaurants,indoor,120,-37.80023307,144.959280641,2024
Cafe Commercio,Part Ground 156-180 Berkeley Street CARLTON VIC 3053,Carlton,Cafes and Restaurants,indoor,115,-37.80155731,144.958820263,2024
The Dumplings & Tea Co,"Room G25, Pt Ground 723 Swanston Street CARLTON VIC 3053",Carlton,Cafes and Restaurants,indoor,18,-37.80087264,144.963414226,2024
The Dumplings & Tea Co,"Room G25, Pt Ground 723 Swanston Street CARLTON VIC 3053",Carlton,Cafes and Restaurants,outdoor,19,-37.80087264,144.963414226,2024
Kfc Carlton,"Shop 2, 743-751 Swanston Street CARLTON VIC 3053",Carlton,Cafes and Restaurants,indoor,22,-37.8006201,144.963642266,2024
Master Fiery,"Shop 3, 743-751 Swanston Street CARLTON VIC 3053",Carlton,Cafes and Restaurants,indoor,40,-37.8006201,144.963642266,2024
Gyoza San,"Shop 3, Ground 121 Grattan Street CARLTON VIC 3053",Carlton,Cafes and Restaurants,indoor,36,-37.80077102,144.965103662,2024
Chargrilled Vietnamese Kitchen,"Unit 2, 164 Cardigan Street CARLTON VIC 3053",Carlton,Cafes and Restaurants,indoor,26,-37.80132569,144.965626451,2024
Don Tojo,"Unit 3, 164 Cardigan Street CARLTON VIC 3053",Carlton,Cafes and Restaurants,outdoor,15,-37.80132569,144.965626451,2024
Don Tojo,"Unit 3, 164 Cardigan Street CARLTON VIC 3053",Carlton,Cafes and Restaurants,indoor,48,-37.80132569,144.965626451,2024
Shooter Mcgavins,117 Grattan Street CARLTON VIC 3053,Carlton,Cafes and Restaurants,outdoor,30,-37.80080042,144.965624121,2024
Kabana Restaurant,167 Lygon Street CARLTON VIC 3053,Carlton,Cafes and Restaurants,indoor,30,-37.80178513,144.96644595,2024
Stuzzichino,Ground 169 Lygon Street CARLTON VIC 3053,Carlton,Cafes and Restaurants,outdoor,30,-37.80171819,144.966456885,2024
Tabouli,189 Lygon Street CARLTON VIC 3053,Carlton,Cafes and Restaurants,indoor,45,-37.8011904,144.966488036,2024
Bossa Nova Coffee And Friends,156 Elgin Street CARLTON VIC 3053,Carlton,Cafes and Restaurants,outdoor,10,-37.79713752,144.969391732,2024
Bossa Nova Coffee And Friends,156 Elgin Street CARLTON VIC 3053,Carlton,Cafes and Restaurants,indoor,25,-37.79713752,144.969391732,2024
Taquito,350-352 Drummond Street CARLTON VIC 3053,Carlton,"Pubs, Taverns and Bars",indoor,76,-37.79771074,144.969271206,2024
Vincent The Dog,348 Drummond Street CARLTON VIC 3053,Carlton,Cafes and Restaurants,indoor,18,-37.79777638,144.969267888,2024
Masani Italian Dining & Terrace,313-315 Drummond Street CARLTON VIC 3053,Carlton,Cafes and Restaurants,outdoor,30,-37.79837995,144.968491963,2024
The Carlton Wine Room,Ground 172-174 Faraday Street CARLTON VIC 3053,Carlton,Cafes and Restaurants,outdoor,20,-37.79858383,144.968585611,2024
Brunetti Classico Carlton,"Shop 17-18, 368-384 Lygon Street CARLTON VIC 3053",Carlton,Cafes and Restaurants,outdoor,100,-37.79803089,144.968178866,2024
Sea Salt Kitchen,362 Lygon Street CARLTON VIC 3053,Carlton,Cafes and Restaurants,outdoor,22,-37.79832944,144.967634649,2024
Donnini'S Restaurant,320 Lygon Street CARLTON VIC 3053,Carlton,Cafes and Restaurants,outdoor,24,-37.79953749,144.967510433,2024
Copperwood,316-318 Lygon Street CARLTON VIC 3053,Carlton,Cafes and Restaurants,outdoor,33,-37.79962339,144.967600033,2024
Divine Darbar Indian Restaurant And Bar,292 Lygon Street CARLTON VIC 3053,Carlton,Cafes and Restaurants,indoor,89,-37.80013942,144.967333819,2024
Paris Go Bistro,114-116 Rathdowne Street CARLTON VIC 3053,Carlton,Cafes and Restaurants,indoor,50,-37.79695652,144.970884118,2024
Fenton Bistro,Ground 158 Rathdowne Street CARLTON VIC 3053,Carlton,Cafes and Restaurants,indoor,26,-37.79578979,144.971086189,2024
Okra Sri Lankan Cuisine,166 Rathdowne Street CARLTON VIC 3053,Carlton,Cafes and Restaurants,indoor,20,-37.79543507,144.971140453,2024
Bar Bellamy,164 Rathdowne Street CARLTON VIC 3053,Carlton,Cafes and Restaurants,outdoor,12,-37.79547684,144.971131911,2024
Al Dente Sapori,Part 161-163 Nicholson Street CARLTON VIC 3053,Carlton,Cafes and Restaurants,indoor,66,-37.7963885,144.974806593,2024
Shuji Sushi,"Shop B, Ground 700 Swanston Street CARLTON VIC 3053",Carlton,Cafes and Restaurants,indoor,8,-37.7999972,144.96482819,2024
The Studio Beans,"Shop A, Ground 700 Swanston Street CARLTON VIC 3053",Carlton,Cafes and Restaurants,indoor,20,-37.7999972,144.96482819,2024
University Cafe / Universita Bar Restaurant,255 Lygon Street CARLTON VIC 3053,Carlton,Cafes and Restaurants,indoor,120,-37.79947744,144.966838206,2024
University Cafe / Universita Bar Restaurant,255 Lygon Street CARLTON VIC 3053,Carlton,Cafes and Restaurants,outdoor,56,-37.79947744,144.966838206,2024
Lagoon Dining,263 Lygon Street CARLTON VIC 3053,Carlton,Cafes and Restaurants,outdoor,30,-37.79929755,144.966868004,2024
Aperitivo Bar Ristorante,275 Lygon Street CARLTON VIC 3053,Carlton,Cafes and Restaurants,outdoor,25,-37.79905377,144.966910371,2024
Cyrus Artlounge,277 Lygon Street CARLTON VIC 3053,Carlton,Cafes and Restaurants,indoor,22,-37.79901857,144.966932478,2024
Agostino,297 Lygon Street CARLTON VIC 3053,Carlton,Cafes and Restaurants,indoor,90,-37.79838828,144.967041148,2024
Tiamo,303 Lygon Street CARLTON VIC 3053,Carlton,Cafes and Restaurants,outdoor,30,-37.79822136,144.967089764,2024
Tiamo,305 Lygon Street CARLTON VIC 3053,Carlton,Cafes and Restaurants,indoor,60,-37.79817948,144.967079227,2024
Tiamo,305 Lygon Street CARLTON VIC 3053,Carlton,Cafes and Restaurants,outdoor,45,-37.79817948,144.967079227,2024
Tiamo,307 Lygon Street CARLTON VIC 3053,Carlton,Cafes and Restaurants,indoor,30,-37.79812248,144.966981693,2024
Milk The Cow Licensed Fromagerie,323 Lygon Street CARLTON VIC 3053,Carlton,Cafes and Restaurants,indoor,80,-37.79777439,144.967125791,2024
Heartattack And Vine,329 Lygon Street CARLTON VIC 3053,Carlton,Cafes and Restaurants,indoor,50,-37.79764329,144.967148225,2024
Jimmy Watson'S Wine Bar,331-335 Lygon Street CARLTON VIC 3053,Carlton,Cafes and Restaurants,outdoor,40,-37.7975082,144.967177892,2024
Adonai Foods,Shop 478 Drummond Street CARLTON VIC 3053,Carlton,Cafes and Restaurants,outdoor,20,-37.79465838,144.969095378,2024
Jasper Kitchen,"Shop 1, 489-499 Elizabeth Street MELBOURNE VIC 3000",Melbourne (CBD),Cafes and Restaurants,indoor,65,-37.80750344,144.959633112,2024
Publique Bakery,18 Blender Lane MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,outdoor,18,-37.8076845,144.959088605,2024
Kombu Qvm Pty Ltd,10 Dhanga Djeembana Walk MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,outdoor,10,-37.8076845,144.959088605,2024
The Brick Lane Market,466 Queen Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,105,-37.80788769,144.958461316,2024
Sarawak Kitchen,469 Elizabeth Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,outdoor,21,-37.807983,144.95996948,2024
Lost In Yunnan Elizabeth,504 Elizabeth Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,80,-37.80719768,144.960349763,2024
Hwadam Bbq,502 Elizabeth Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,90,-37.80719768,144.960349763,2024
David'S Master Pot,Gnd & Mezz 452 Elizabeth Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,outdoor,20,-37.80783746,144.960624495,2024
Captain Melville,Mac's Hotel 34-38 Franklin Street MELBOURNE VIC 3000,Melbourne (CBD),"Pubs, Taverns and Bars",outdoor,70,-37.80752292,144.961612568,2024
Nisa'S Thai Street Food,491-493 Swanston Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,98,-37.80728963,144.962090701,2024
Byblos Bar & Restaurant,"Shop 12, Ground 18-38 Siddeley Street DOCKLANDS VIC 3008",Docklands,Cafes and Restaurants,outdoor,80,-37.82273183,144.953818379,2024
Degani Bakery Cafe,"Shop 1, Ground 18-38 Siddeley Street DOCKLANDS VIC 3008",Docklands,Cafes and Restaurants,outdoor,26,-37.82273183,144.953818379,2024
Man Mo @ Wtc,"Shop 13-15, Ground 18-38 Siddeley Street DOCKLANDS VIC 3008",Docklands,Cafes and Restaurants,indoor,150,-37.82273183,144.953818379,2024
Tokyo Lamington,258 Elgin Street CARLTON VIC 3053,Carlton,Cafes and Restaurants,indoor,24,-37.79670704,144.965533876,2024
Dumpling & Chinese Cuisine,Ground 832 Swanston Street CARLTON VIC 3053,Carlton,Cafes and Restaurants,indoor,42,-37.79668021,144.964899925,2024
Clyde Hotel,377-391 Cardigan Street CARLTON VIC 3053,Carlton,"Pubs, Taverns and Bars",indoor,70,-37.79725532,144.965754077,2024
Dragon Hot Pot,433 Elizabeth Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,26,-37.8088586,144.960343859,2024
Jojo Little Kitchen,"Shop G2, 118 A'Beckett Street MELBOURNE VIC 3000",Melbourne (CBD),Cafes and Restaurants,outdoor,36,-37.80904835,144.959575429,2024
Ichigo,"Shop 3, 155 Franklin Street MELBOURNE VIC 3000",Melbourne (CBD),Cafes and Restaurants,indoor,100,-37.80904835,144.959575429,2024
Kimsoju,408 Queen Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,50,-37.80897917,144.958511614,2024
Zhangliang Malatang,"Shop 4, Ground 422-440 Elizabeth Street MELBOURNE VIC 3000",Melbourne (CBD),Cafes and Restaurants,indoor,32,-37.8086289,144.961006966,2024
Daily Delish,85 Franklin Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,35,-37.80816922,144.961762745,2024
The Vine Coffee Roasters,"Tenancy 11, Level 2 435-457 Swanston Street MELBOURNE VIC 3000",Melbourne (CBD),Cafes and Restaurants,indoor,40,-37.80826292,144.962693205,2024
Market Lane Coffee,83-85 Victoria Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,outdoor,24,-37.80765748,144.957205484,2024
Romeo Takeaway Cafe,"Stall 7-8, Shed F Queen Victoria Market 66 Peel Street MELBOURNE VIC 3000",Melbourne (CBD),Cafes and Restaurants,indoor,4,-37.80765748,144.957205484,2024
Rubens,75 Victoria Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,outdoor,12,-37.80765748,144.957205484,2024
Saltwater Sushi And Oyster Bar,79 Victoria Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,12,-37.80765748,144.957205484,2024
3 Brothersss,513 Elizabeth Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,outdoor,36,-37.80765748,144.957205484,2024
Cafe Victoria,517 Elizabeth Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,38,-37.80765748,144.957205484,2024
Cafe Victoria,517 Elizabeth Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,outdoor,24,-37.80765748,144.957205484,2024
Kenangan,507 Elizabeth Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,outdoor,50,-37.80765748,144.957205484,2024
Pondok Rempah,487 Elizabeth Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,outdoor,8,-37.8076029,144.959791631,2024
Da Tie Niu,Ground 360 La Trobe Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,33,-37.8107204,144.959136749,2024
Yaki Nau,12 Lilardia Walk MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,80,-37.81002684,144.959099041,2024
Darac,Ground 53 A'Beckett Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,outdoor,6,-37.8090975,144.962074258,2024
Bowltiful Halal Lanzhou Noodles,Ground 382-384 Elizabeth Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,60,-37.80977164,144.961451491,2024
Cheng Fu Urban Dessert Buffet,62-64 Little La Trobe Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,37,-37.80940205,144.961890386,2024
Kfc,Ground 401 Swanston Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,28,-37.80904283,144.963216993,2024
Boss D,"Unit 2, Ground 407 Swanston Street MELBOURNE VIC 3000",Melbourne (CBD),Cafes and Restaurants,indoor,110,-37.80895593,144.96317964,2024
Surasang,55-59 A'Beckett Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,250,-37.80913331,144.961953762,2024
Canto Cafe E Pizzeria,Part Level 4 Building 14 RMIT University 414-418 Swanston Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,48,-37.80818156,144.964543533,2024
Thailicious,"Unit 1, 355-357 Exhibition Street MELBOURNE VIC 3000",Melbourne (CBD),Cafes and Restaurants,indoor,52,-37.80752222,144.968173143,2024
Karomi Cafe,19 MacKenzie Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,12,-37.80768212,144.967394785,2024
Buza Chicken,"Shop 3, Ground 365 Queen Street MELBOURNE VIC 3000",Melbourne (CBD),Cafes and Restaurants,indoor,50,-37.80988001,144.957993288,2024
Bentoman,3 Frederick Way MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,15,-37.81015871,144.956601159,2024
Zawaddi,Ground 106 A'Beckett Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,117,-37.80914342,144.959996913,2024
Zawaddi,Ground 106 A'Beckett Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,outdoor,22,-37.80914342,144.959996913,2024
Shu Ramen Elizabeth,427 Elizabeth Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,outdoor,6,-37.80897533,144.960424356,2024
Papion Bites,Ground 287 Exhibition Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,70,-37.80907468,144.968894912,2024
Famil Lee,Ground 295 Exhibition Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,24,-37.80893166,144.968828365,2024
Global Kitchen Cafe,"Shop 5, 321 Exhibition Street MELBOURNE VIC 3000",Melbourne (CBD),Cafes and Restaurants,indoor,66,-37.80861853,144.968423011,2024
B & B' Guette Cafe,305-307 Exhibition Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,outdoor,12,-37.80881313,144.968771771,2024
Mr Hoppers,303 Exhibition Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,16,-37.80881313,144.968771771,2024
Hansang,"Part Lot 1, Ground 347 King Street WEST MELBOURNE VIC 3003",West Melbourne (Residential),Cafes and Restaurants,indoor,32,-37.81214526,144.953514179,2024
The Dispensa,377 King Street WEST MELBOURNE VIC 3003,West Melbourne (Residential),Cafes and Restaurants,indoor,19,-37.81166257,144.953251433,2024
The Moghals,369-371 King Street WEST MELBOURNE VIC 3003,West Melbourne (Residential),Cafes and Restaurants,indoor,26,-37.81166257,144.953251433,2024
Biryani House,339 King Street WEST MELBOURNE VIC 3003,West Melbourne (Residential),Cafes and Restaurants,indoor,42,-37.81236188,144.953629457,2024
Impresso Cafe,Ground 341 King Street WEST MELBOURNE VIC 3003,West Melbourne (Residential),Cafes and Restaurants,indoor,16,-37.81229603,144.953598901,2024
Abc Chicken,Ground 175 A'Beckett Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,60,-37.81022044,144.958211968,2024
The Jazz Corner Cafe,Part 352 William Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,36,-37.81124427,144.956578269,2024
Operator 25,"Unit 3, Ground 25 Wills Street MELBOURNE VIC 3000",Melbourne (CBD),Cafes and Restaurants,outdoor,18,-37.81071591,144.957162073,2024
Ygf Melbourne,369 Elizabeth Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,45,-37.8100143,144.960849507,2024
Homm Dessert At Heart,294 La Trobe Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,60,-37.8100143,144.960849507,2024
Mamao,Part Ground 338 Queen Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,54,-37.81075124,144.959029373,2024
Buza Chicken,"Shop 317, Level 3 300 Lonsdale Street MELBOURNE VIC 3000",Melbourne (CBD),Cafes and Restaurants,indoor,121,-37.81073331,144.963018917,2024
Byrdi,"Shop 75, Ground 300 Lonsdale Street MELBOURNE VIC 3000",Melbourne (CBD),Cafes and Restaurants,indoor,62,-37.81073331,144.963018917,2024
Gotcha,"Shop 245, Level 2 300 Lonsdale Street MELBOURNE VIC 3000",Melbourne (CBD),Cafes and Restaurants,indoor,30,-37.81073331,144.963018917,2024
Homm Dessert,"Shop 71, Ground 300 Lonsdale Street MELBOURNE VIC 3000",Melbourne (CBD),Cafes and Restaurants,indoor,50,-37.81073331,144.963018917,2024
Nosh,"Shop 233A, Level 2 300 Lonsdale Street MELBOURNE VIC 3000",Melbourne (CBD),Cafes and Restaurants,indoor,34,-37.81073331,144.963018917,2024
New Shanghai,"Shop 302, Level 3 300 Lonsdale Street MELBOURNE VIC 3000",Melbourne (CBD),Cafes and Restaurants,indoor,95,-37.81073331,144.963018917,2024
Miyama,"Shop 226, Level 2 300 Lonsdale Street MELBOURNE VIC 3000",Melbourne (CBD),Cafes and Restaurants,indoor,47,-37.81073331,144.963018917,2024
Ajisen Ramen,"Shop 13, Ground 300 Lonsdale Street MELBOURNE VIC 3000",Melbourne (CBD),Cafes and Restaurants,indoor,79,-37.81073331,144.963018917,2024
Tgi Fridays Restaurant & Bar,"Shop 313, Level 3 300 Lonsdale Street MELBOURNE VIC 3000",Melbourne (CBD),Cafes and Restaurants,indoor,330,-37.81073331,144.963018917,2024
Strike Bowling Melbourne Central / Strike Escape Rooms Melbourne Central,"Shop 305, Level 3 300 Lonsdale Street MELBOURNE VIC 3000",Melbourne (CBD),"Sports and Physical Recreation Venues, Grounds and Facilities Operation",indoor,28,-37.81073331,144.963018917,2024
Billy'S Central,"Shop 220A, Level 2 300 Lonsdale Street MELBOURNE VIC 3000",Melbourne (CBD),Cafes and Restaurants,indoor,36,-37.81073331,144.963018917,2024
Sakura Kaiten Sushi Ii,"Shop 1, 282 Lonsdale Street MELBOURNE VIC 3000",Melbourne (CBD),Cafes and Restaurants,indoor,30,-37.81152963,144.963996846,2024
David'S Master Pot Swanston,Ground 301 Swanston Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,outdoor,8,-37.81107765,144.964193795,2024
Mr Tulk Cafe,Shop 304-328 Swanston Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,80,-37.80976881,144.965306017,2024
Mr Tulk Cafe,Shop 304-328 Swanston Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,outdoor,70,-37.80976881,144.965306017,2024
The Moat Bar & Cafe,Basement 176 Little Lonsdale Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,outdoor,30,-37.80976881,144.965306017,2024
Zhan Beers,Ground 474 Little Lonsdale Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,24,-37.81301653,144.955412606,2024
Paik'S Noodle,470 Little Lonsdale Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,80,-37.81299012,144.955503857,2024
Basil With Thyme,Ground 271 William Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,90,-37.81270785,144.956447353,2024
Paroro,Level 1 315 Elizabeth Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,122,-37.81122143,144.961458918,2024
Isshin Ramen Bar,Ground 349 Elizabeth Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,39,-37.81067436,144.961208102,2024
Krimper,Ground 20-24 Guildford Lane MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,80,-37.81115719,144.960127381,2024
Davids Hot Pot,279 La Trobe Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,55,-37.81073635,144.960864124,2024
Scoopy Central,297 La Trobe Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,60,-37.81082676,144.960466822,2024
Scoopy Central,297 La Trobe Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,outdoor,6,-37.81082676,144.960466822,2024
Azuo Yogurt & Cake,321 La Trobe Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,11,-37.81097638,144.959961235,2024
Magic Cuisine,331 La Trobe Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,28,-37.81102516,144.959794532,2024
Paksoi,18 Sutherland Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,2,-37.81131628,144.960948366,2024
Taste Hunan,280 Little Lonsdale Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,16,-37.81131628,144.960948366,2024
Yum Sing House,22-28 Sutherland Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,90,-37.81097275,144.960887099,2024
Axil Coffee Roasters Melbourne Central,"Tenancy 89, Ground 360 Elizabeth Street MELBOURNE VIC 3000",Melbourne (CBD),Cafes and Restaurants,indoor,150,-37.81084464,144.962061274,2024
Kumo Kumo Desserts,198 Little Lonsdale Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,55,-37.81073331,144.963018917,2024
Operator Diner,"Tenancy 2, 130 Lonsdale Street MELBOURNE VIC 3000",Melbourne (CBD),Cafes and Restaurants,indoor,60,-37.8099428,144.968171809,2024
Whisky And Alement,Ground 270 Russell Street MELBOURNE VIC 3000,Melbourne (CBD),"Pubs, Taverns and Bars",indoor,45,-37.81011116,144.967159031,2024
Hor Kitchen,264-266 Russell Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,60,-37.81020096,144.967198825,2024
Fishing Season,260-262 Russell Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,40,-37.8102551,144.967224721,2024
Bemil,256-258 Russell Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,53,-37.81031177,144.967250843,2024
Barista Cafe,"Shop 11, Ground 242 Exhibition Street MELBOURNE VIC 3000",Melbourne (CBD),Cafes and Restaurants,indoor,52,-37.80941489,144.969975609,2024
Sargon,Part Ground 2 Lonsdale Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,60,-37.8091232,144.971443019,2024
